id;employee_id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;20901;Nat;Doyle;Paxton61@yahoo.com;ew;2023-12-21T22:49:35;32038;10989
2;26002;Lois;Aufderhar;Kayli_Haag@hotmail.com;madden the accident;2023-12-21T11:38:37;16517;24260
3;2923;Magdalena;Nicolas;Paris45@hotmail.com;acupuncture yahoo du;2023-12-21T05:37:39;25420;14000
4;1446;Nakia;Windler;Junior2@gmail.com;blah lightly;2023-12-21T12:03:15;22911;21552
5;24551;Kolby;Bruen;Arnaldo70@hotmail.com;psst repel;2023-12-21T10:29:17;8598;23286
6;24672;Lillian;Stroman;Herta55@yahoo.com;derby interestingly;2023-12-21T14:35:16;23098;642
7;21542;Lauretta;Hodkiewicz;Rosemary57@hotmail.com;eventually aw;2023-12-22T02:17:54;12076;16087
8;3601;Gabe;Metz;Daryl_Douglas@yahoo.com;under;2023-12-21T09:20:39;27146;31359
9;13427;Hoyt;King;Nicklaus75@hotmail.com;upright hm;2023-12-21T08:01:39;26528;321
10;28360;Sabrina;Raynor;Genesis3@yahoo.com;considering easily;2023-12-21T22:34:16;859;30392
